機関コード	12603
機関名称（日）	東京外国語大学
機関名称（英）	Tokyo University of Foreign Studies
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	東京外国語大学学術成果コレクション
機関リポジトリ名称（英）	Prometheus Academic Collections
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/40.gif
機関リポジトリへのリンク（日）	http://repository.tufs.ac.jp/doc/
機関リポジトリへのリンク（英）	http://repository.tufs.ac.jp/doc/index_e.html
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/40.gif
郵便番号	183-8534
住所	東京都府中市朝日町３－１１－１
使用ソフトウェア	DSpace
試験公開日	2007/06/15
本公開日	2008/03/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	500	64	1467	0	0	6	0	0	0	2	0	0	0	17	2056
2010/04	500	64	1466	0	0	6	0	0	0	2	0	0	0	16	2054
2010/03	532	64	1484	0	0	5	0	0	0	2	0	0	0	16	2103
2010/02	527	64	1462	0	0	5	0	0	0	2	0	0	0	16	2076
2010/01	522	64	1456	0	0	5	0	0	0	2	0	0	0	16	2065
2009/12	522	64	1456	0	0	5	0	0	0	2	0	0	0	16	2065
2009/11	522	64	1456	0	0	5	0	0	0	2	0	0	0	16	2065
2009/10	522	64	1450	0	0	5	0	0	0	2	0	0	0	16	2059
2009/09	522	64	1411	0	0	5	0	0	0	2	0	0	0	16	2020
2009/08	521	63	1357	0	0	5	0	0	0	2	0	0	0	16	1964
2009/07	521	59	1231	0	0	5	0	0	0	2	0	0	0	16	1834
2009/06	471	56	1230	0	0	5	0	0	0	2	0	0	0	16	1780
2009/05	457	56	1192	0	0	5	0	0	0	2	0	0	0	16	1728
2009/04	457	56	1191	0	0	5	0	0	0	2	0	0	0	16	1727
2009/03	457	56	1191	0	0	5	0	0	0	2	0	0	0	15	1726
2009/02	457	56	1191	0	0	5	0	0	0	0	0	0	0	15	1724
2009/01	457	56	1191	0	0	5	0	0	0	0	0	0	0	15	1724
2008/12	457	56	1191	0	0	5	0	0	0	0	0	0	0	15	1724
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
