機関コード	12611
機関名称（日）	お茶の水女子大学
機関名称（英）	Ochanomizu　University
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	TeaPot　お茶の水女子大学教育・研究成果コレクション
機関リポジトリ名称（英）	TeaPot：Ochanomizu University Web Library - Institutional Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/24.jpg
機関リポジトリへのリンク（日）	http://teapot.lib.ocha.ac.jp/ocha/
機関リポジトリへのリンク（英）	http://teapot.lib.ocha.ac.jp/ocha/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/24.jpg
郵便番号	112-8610
住所	東京都文京区大塚2-1-1
使用ソフトウェア	Dspace
試験公開日	2007/03/29
本公開日	2007/04/18
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	937	0	4486	7	29	9	0	281	9844	0	1	0	0	4288	19882
2009/12	937	0	4486	7	29	9	0	281	9844	0	1	0	0	4288	19882
2009/11	937	0	4486	7	29	9	0	281	9844	0	1	0	0	4288	19882
2009/10	937	0	4407	7	29	9	0	281	9844	0	1	0	0	4253	19768
2009/09	936	0	4290	7	29	9	0	281	9844	0	1	0	0	4230	19627
2009/08	936	0	4243	7	29	9	0	281	9844	0	1	0	0	4191	19541
2009/07	933	0	4243	7	29	9	0	281	9843	0	1	0	0	3922	19268
2009/06	930	0	4203	7	29	9	0	266	9783	0	1	0	0	3919	19147
2009/05	869	0	4195	7	29	9	0	264	9200	0	1	0	0	3899	18473
2009/04	853	0	4316	7	29	8	0	264	11861	0	1	0	0	987	18326
2009/03	801	0	4274	8	29	8	0	264	11861	0	1	0	0	982	18228
2009/02	759	0	4274	8	29	8	0	264	11859	0	0	0	0	979	18180
2009/01	660	0	4274	8	29	7	0	264	11856	0	0	0	0	957	18055
2008/12	576	0	4274	7	29	7	0	264	11856	0	0	0	0	957	17970
2008/11	475	0	4274	7	29	7	0	264	11856	0	0	0	0	957	17869
2008/10	411	0	4274	7	26	7	0	264	11273	0	0	0	0	956	17218
2008/09	341	0	4273	7	26	7	0	264	11273	0	0	0	0	956	17147
2008/08	278	0	4264	7	21	7	0	264	11273	0	0	0	0	691	16805
2008/07	250	0	4264	11	2	7	0	264	11273	0	0	0	0	689	16760
2008/06	187	0	4261	11	1	6	0	264	11273	0	0	0	0	688	16691
2008/05	139	0	1914	10	1	4	0	260	34	0	0	0	0	688	3050
2008/04	114	0	877	10	0	1	0	53	5	0	0	0	0	688	1748
2008/03	68	0	280	7	0	1	0	53	5	0	0	0	0	686	1100
2008/02	14	0	280	7	0	12	0	42	5	0	0	0	0	646	1006
2008/01	13	0	280	7	0	11	0	42	5	0	0	0	0	616	974
2007/12	13	0	280	7	0	11	0	42	5	0	0	0	0	505	863
2007/11	13	0	280	7	0	11	0	42	5	0	0	0	0	505	863
2007/10	12	0	280	7	0	11	0	42	5	0	0	0	0	505	862
2007/09	4	0	280	0	0	0	0	0	0	0	0	0	0	496	780
2007/08	4	0	280	0	0	0	0	0	0	0	0	0	0	248	532
2007/07	2	0	280	0	0	0	0	0	0	0	0	0	0	237	519
2007/06	2	0	0	0	0	0	0	0	0	0	0	0	0	237	239
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
