機関コード	82512
機関名称（日）	日本貿易振興機構アジア経済研究所
機関名称（英）	Institute of Developing Economies, Japan External Trade Organization
設置種別	その他
機関規模	

機関リポジトリ名称（日）	日本貿易振興機構アジア経済研究所学術研究リポジトリ
機関リポジトリ名称（英）	Academic Research Repository at the Institute of Developing Economies  (ARRIDE)
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/45.jpg
機関リポジトリへのリンク（日）	https://ir.ide.go.jp/dspace/
機関リポジトリへのリンク（英）	https://ir.ide.go.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/45.jpg
郵便番号	261-8545
住所	千葉県千葉市美浜区若葉3-2-2
使用ソフトウェア	DSpace
試験公開日	
本公開日	2006/08/15
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	244	0	0	0	0	8	173	44	7	0	0	0	0	211	687
2009/12	244	0	0	0	0	8	173	44	7	0	0	0	0	211	687
2009/11	244	0	0	0	0	8	173	44	7	0	0	0	0	211	687
2009/10	244	0	0	0	0	8	173	44	7	0	0	0	0	211	687
2009/09	244	0	0	0	0	8	173	44	7	0	0	0	0	211	687
2009/08	244	0	0	0	0	8	167	44	7	0	0	0	0	211	681
2009/07	244	0	0	0	0	8	163	44	7	0	0	0	0	211	677
2009/06	243	0	0	0	0	8	22	168	7	0	0	0	0	211	659
2009/05	243	0	0	0	0	8	20	169	7	0	0	0	0	211	658
2009/04	243	0	0	0	0	8	20	169	7	0	0	0	0	211	658
2009/03	243	0	0	0	0	8	20	169	7	0	0	0	0	211	658
2009/02	242	0	0	0	0	8	14	171	7	0	0	0	0	204	646
2009/01	242	0	0	0	0	8	13	165	7	0	0	0	0	204	639
2008/12	242	0	0	0	0	8	13	165	7	0	0	0	0	204	639
2008/11	241	0	0	0	0	8	9	165	7	0	0	0	0	204	634
2008/10	241	0	0	0	0	8	1	165	7	0	0	0	0	204	626
2008/09	241	0	0	0	0	8	0	163	7	0	0	0	0	202	621
2008/08	241	0	0	0	0	8	0	160	7	0	0	0	0	202	618
2008/07	241	0	0	0	0	8	0	155	7	0	0	0	0	202	613
2008/06	238	0	0	0	0	8	0	154	7	0	0	0	0	201	608
2008/05	224	0	0	0	0	8	0	145	7	0	0	0	0	199	583
2008/04	224	0	0	0	0	7	0	143	7	0	0	0	0	199	580
2008/03	224	0	0	0	0	7	0	130	7	0	0	0	0	198	566
2008/02	222	0	0	0	0	7	0	129	7	0	0	0	0	196	561
2008/01	222	0	0	0	0	7	0	129	7	0	0	0	0	196	561
2007/12	205	0	0	0	0	7	0	127	7	0	0	0	0	196	542
2007/11	186	0	0	0	0	7	0	123	7	0	0	0	0	169	492
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
