機関コード	32651
機関名称（日）	東京慈恵会医科大学
機関名称（英）	The Jikei University School of Medicine
設置種別	私立大学
機関規模	D

機関リポジトリ名称（日）	東京慈恵会医科大学 学術リポジトリ
機関リポジトリ名称（英）	The Academic Repository, The Jikei University School of Medicine
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/66.gif
機関リポジトリへのリンク（日）	http://ir.jikei.ac.jp/
機関リポジトリへのリンク（英）	http://ir.jikei.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/66.gif
郵便番号	105-8461
住所	東京都港区西新橋3-25-8
使用ソフトウェア	DSpace
試験公開日	2008/03/12
本公開日	2008/06/12
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	747	0	0	776	0	70	0	0	0	0	0	0	0	140	1733
2009/11	747	0	0	776	0	70	0	0	0	0	0	0	0	140	1733
2009/10	747	0	0	776	0	70	0	0	0	0	0	0	0	140	1733
2009/09	730	0	0	776	0	70	0	0	0	0	0	0	0	140	1716
2009/08	730	0	0	776	0	70	0	0	0	0	0	0	0	140	1716
2009/07	730	0	0	776	0	70	0	0	0	0	0	0	0	140	1716
2009/06	730	0	0	776	0	70	0	0	0	0	0	0	0	140	1716
2009/05	727	0	0	776	0	70	0	0	0	0	0	0	0	140	1713
2009/04	727	0	0	776	0	70	0	0	0	0	0	0	0	140	1713
2009/03	727	0	0	776	0	70	0	0	0	0	0	0	0	140	1713
2009/02	747	0	0	781	0	12	0	0	0	0	0	0	0	140	1680
2009/01	747	0	0	781	0	12	0	0	0	0	0	0	0	140	1680
2008/12	747	0	0	781	0	12	0	0	0	0	0	0	0	140	1680
2008/11	745	0	0	781	0	12	0	0	0	0	0	0	0	140	1678
2008/10	745	0	0	781	0	12	0	0	0	0	0	0	0	140	1678
2008/09	745	0	0	781	0	12	0	0	0	0	0	0	0	140	1678
2008/08	745	0	0	781	0	12	0	0	0	0	0	0	0	140	1678
2008/07	745	0	0	781	0	12	0	0	0	0	0	0	0	140	1678
2008/06	745	0	0	781	0	12	0	0	0	0	0	0	0	140	1678
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
