機関コード	32650
機関名称（日）	東京歯科大学
機関名称（英）	Tokyo Dental College
設置種別	私立大学
機関規模	D

機関リポジトリ名称（日）	東京歯科大学学術機関リポジトリ : IRUCAA@TDC
機関リポジトリ名称（英）	Tokyo Dental College Institutional Repository : IRUCAA@TDC
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/55.jpg
機関リポジトリへのリンク（日）	http://ir.tdc.ac.jp/
機関リポジトリへのリンク（英）	http://ir.tdc.ac.jp/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/55.jpg
郵便番号	261-8502
住所	千葉県千葉市美浜区真砂1-2-2
使用ソフトウェア	DSpace
試験公開日	2006/11/15
本公開日	2008/02/06
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	158	99	574	12	3	2	0	29	0	0	0	0	0	15	892
2009/12	149	99	574	12	3	2	0	29	0	0	0	0	0	15	883
2009/11	143	99	566	12	3	2	0	29	0	0	0	0	0	15	869
2009/10	141	99	555	12	3	2	0	29	0	0	0	0	0	15	856
2009/09	136	99	548	12	3	2	0	14	0	0	0	0	0	13	827
2009/08	133	99	532	11	3	2	0	14	0	0	0	0	0	13	807
2009/07	127	99	519	11	2	2	0	14	0	0	0	0	0	12	786
2009/06	127	99	461	11	2	1	0	14	0	0	0	0	0	12	727
2009/05	126	54	456	11	2	1	0	14	0	0	0	0	0	12	676
2009/04	119	54	456	11	2	1	0	14	0	0	0	0	0	12	669
2009/03	114	54	444	11	2	1	0	14	0	0	0	0	0	9	649
2009/02	107	54	403	9	2	1	0	14	0	0	0	0	0	9	599
2009/01	100	11	395	7	2	1	0	14	0	0	0	0	0	9	539
2008/12	91	11	374	7	2	1	0	12	0	0	0	0	0	9	507
2008/11	85	11	365	7	2	1	0	12	0	0	0	0	0	9	492
2008/10	80	11	341	6	2	1	0	12	0	0	0	0	0	9	462
2008/09	75	11	323	6	2	1	0	12	0	0	0	0	0	9	439
2008/08	69	11	296	6	2	1	0	0	0	0	0	0	0	9	394
2008/07	64	11	289	5	2	1	0	0	0	0	0	0	0	9	381
2008/06	64	11	289	5	2	1	0	0	0	0	0	0	0	9	381
2008/05	54	7	277	5	0	1	0	0	0	0	0	0	0	9	353
2008/04	54	7	277	5	0	1	0	0	0	0	0	0	0	9	353
2008/03	47	7	260	5	0	1	0	0	0	0	0	0	0	9	329
2008/02	42	7	240	3	0	1	0	0	0	0	0	0	0	3	296
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
