機関コード	
機関名称（日）	物質・材料研究機構
機関名称（英）	
設置種別	
機関規模	

機関リポジトリ名称（日）	NIMS eSciDoc
機関リポジトリ名称（英）	NIMS eSciDoc
機関リポジトリトップページ画像	
機関リポジトリへのリンク（日）	http://pubman.mpdl.mpg.de
機関リポジトリへのリンク（英）	http://pubman.mpdl.mpg.de
機関リポジトリロゴマーク	
郵便番号	
住所	
使用ソフトウェア	
試験公開日	
本公開日	2008/09/10
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	3
2009/12	169
2009/11	17
2009/10	23
2009/09	9
2009/08	8
2009/07	4
2009/06	1
2009/05	1
2009/04	3
2009/03	6
2009/02	3
2008/12	2
2008/11	13
2008/10	0
2008/09	63
