機関コード	12604
機関名称（日）	東京学芸大学
機関名称（英）	Tokyo Gakugei University
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	東京学芸大学リポジトリ
機関リポジトリ名称（英）	Tokyo Gakugei University Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/4.gif
機関リポジトリへのリンク（日）	https://ir.u-gakugei.ac.jp/
機関リポジトリへのリンク（英）	https://ir.u-gakugei.ac.jp/?lang=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/4.gif
郵便番号	184-8501
住所	東京都小金井市貫井北町 4-1-1
使用ソフトウェア	NALIS-R
試験公開日	
本公開日	2007/04/01
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	116	13	2533	7	6	0	0	36	0	0	0	0	0	5	2716
2011/10	116	13	2533	7	6	0	0	36	0	0	0	0	0	5	2716
2011/09	116	13	2533	7	6	0	0	36	0	0	0	0	0	5	2716
2011/08	96	5	2519	6	6	0	0	35	0	0	0	0	0	5	2672
2011/07	92	5	2519	6	6	0	0	35	0	0	0	0	0	4	2667
2011/06	91	5	2512	6	6	0	0	35	0	0	0	0	0	4	2659
2011/05	91	5	2420	6	6	0	0	34	0	0	0	0	0	4	2566
2011/04	91	5	2405	6	6	0	0	34	0	0	0	0	0	4	2551
2011/03	91	5	2401	6	6	0	0	34	0	0	0	0	0	4	2547
2011/02	91	5	2401	6	6	0	0	34	0	0	0	0	0	4	2547
2011/01	91	5	2401	6	6	0	0	34	0	0	0	0	0	4	2547
2010/12	87	5	2381	6	6	0	0	34	0	0	0	0	0	4	2523
2010/11	87	5	2381	6	6	0	0	34	0	0	0	0	0	4	2523
2010/10	87	5	2381	6	6	0	0	34	0	0	0	0	0	4	2523
2010/09	87	5	2381	6	6	0	0	34	0	0	0	0	0	4	2523
2010/08	87	4	2365	6	6	0	0	34	0	0	0	0	0	4	2506
2010/07	87	4	2365	6	6	0	0	34	0	0	0	0	0	4	2506
2010/06	84	4	2365	6	4	0	0	34	0	0	0	0	0	4	2501
2010/05	83	4	2260	6	4	0	0	33	0	0	0	0	0	4	2394
2010/04	83	4	2242	6	4	0	0	32	0	0	0	0	0	4	2375
2010/03	83	4	2242	6	4	0	0	32	0	0	0	0	0	4	2375
2010/02	81	4	2242	6	4	0	0	32	0	0	0	0	0	4	2373
2010/01	81	4	2242	6	4	0	0	32	0	0	0	0	0	4	2373
2009/12	81	4	2242	6	4	0	0	32	0	0	0	0	0	4	2373
2009/11	79	4	2241	6	4	0	0	32	0	0	0	0	0	4	2370
2009/10	79	4	2241	6	4	0	0	32	0	0	0	0	0	4	2370
2009/09	78	4	2241	6	4	0	0	32	0	0	0	0	0	4	2369
2009/08	78	4	2242	6	4	0	0	32	0	0	0	0	0	4	2370
2009/07	78	4	2230	6	0	0	0	32	0	0	0	0	0	4	2354
2009/06	78	4	2230	6	0	0	0	32	0	0	0	0	0	4	2354
2009/05	78	4	2227	6	0	0	0	32	0	0	0	0	0	4	2351
2009/04	43	4	207	5	0	0	0	30	0	0	0	0	0	1	290
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
