機関コード	34504
機関名称（日）	関西学院大学
機関名称（英）	Kwansei　Gakuin　University
設置種別	私立大学
機関規模	A

機関リポジトリ名称（日）	関西学院大学リポジトリ
機関リポジトリ名称（英）	Kwansei　Gakuin　University　Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/29.jpg
機関リポジトリへのリンク（日）	http://kgur.kwansei.ac.jp/dspace/index.jsp
機関リポジトリへのリンク（英）	http://kgur.kwansei.ac.jp/dspace/index.jsp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/29.jpg
郵便番号	662-8501
住所	兵庫県西宮市上ケ原一番町1-155
使用ソフトウェア	Dspace
試験公開日	2007/07/20
本公開日	2007/10/01
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
