機関コード	25406
機関名称（日）	県立広島大学
機関名称（英）	Prefectural University of Hiroshima
設置種別	公立大学
機関規模	C

機関リポジトリ名称（日）	広島県大学共同リポジトリ
機関リポジトリ名称（英）	Hiroshima Associated Repository Portal
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/137.gif
機関リポジトリへのリンク（日）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリへのリンク（英）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/137.gif
郵便番号	734-8558
住所	広島市南区宇品東1-1-71
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/04/30
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	3	2	438	16	0	0	0	1	0	0	0	0	0	162	622
2011/10	3	2	438	16	0	0	0	1	0	0	0	0	0	162	622
2011/09	3	2	438	16	0	0	0	1	0	0	0	0	0	162	622
2011/08	3	2	411	16	0	0	0	1	0	0	0	0	0	154	587
2011/07	3	2	409	16	0	0	0	1	0	0	0	0	0	154	585
2011/06	3	2	409	11	0	0	0	1	0	0	0	0	0	154	580
2011/05	3	0	409	8	0	0	0	1	0	0	0	0	0	154	575
2011/04	3	0	409	8	0	0	0	1	0	0	0	0	0	154	575
2011/03	2	0	409	7	0	0	0	1	0	0	0	0	0	154	573
2011/02	2	0	361	7	0	0	0	1	0	0	0	0	0	148	519
2011/01	2	0	361	2	0	0	0	1	0	0	0	0	0	148	514
2010/12	2	0	360	0	0	0	0	0	0	0	0	0	0	148	510
2010/11	0	0	360	0	0	0	0	0	0	0	0	0	0	148	508
2010/10	0	0	336	0	0	0	0	0	0	0	0	0	0	140	476
2010/09	0	0	336	0	0	0	0	0	0	0	0	0	0	140	476
2010/08	0	0	336	0	0	0	0	0	0	0	0	0	0	140	476
2010/07	0	0	336	0	0	0	0	0	0	0	0	0	0	140	476
2010/06	0	0	336	0	0	0	0	0	0	0	0	0	0	140	476
2010/05	0	0	336	0	0	0	0	0	0	0	0	0	0	140	476
2010/04	0	0	336	0	0	0	0	0	0	0	0	0	0	140	476
2010/03	0	0	336	0	0	0	0	0	0	0	0	0	0	140	476
2010/02	0	0	293	0	0	0	0	0	0	0	0	0	0	120	413
2010/01	0	0	293	0	0	0	0	0	0	0	0	0	0	120	413
2009/12	0	0	293	0	0	0	0	0	0	0	0	0	0	120	413
2009/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
