機関コード	13902
機関名称（日）	愛知教育大学
機関名称（英）	Aichi University of Education
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	愛知教育大学学術情報リポジトリ
機関リポジトリ名称（英）	Aichi University of Education Academic Information Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/88.gif
機関リポジトリへのリンク（日）	http://repository.aichi-edu.ac.jp/
機関リポジトリへのリンク（英）	http://repository.aichi-edu.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/88.jpg
郵便番号	448-8542
住所	愛知県刈谷市井ヶ谷町広沢１
使用ソフトウェア	DSpace
試験公開日	
本公開日	2009/01/05
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	455	0	2714	18	3	2	0	22	3	0	0	0	0	89	3306
2011/10	449	0	2679	18	3	0	0	21	3	0	0	0	0	89	3262
2011/09	445	0	2602	18	3	0	0	20	3	0	0	0	0	88	3179
2011/08	413	0	2545	17	3	0	0	20	3	0	0	0	0	87	3088
2011/07	405	0	2518	12	3	0	0	19	3	0	0	0	0	87	3047
2011/06	405	0	2518	12	3	0	0	8	3	0	0	0	0	87	3036
2011/05	369	0	2491	12	3	0	0	8	3	0	0	0	0	87	2973
2011/04	366	0	2436	12	3	0	0	8	2	0	0	0	0	87	2914
2011/03	366	0	2320	12	3	0	0	8	2	0	0	0	0	47	2758
2011/02	357	0	2316	12	3	0	0	8	2	0	0	0	0	47	2745
2011/01	354	0	2316	12	3	0	0	8	2	0	0	0	0	47	2742
2010/12	352	0	2316	12	3	0	0	8	2	0	0	0	0	47	2740
2010/11	352	0	2270	12	3	0	0	8	2	0	0	0	0	47	2694
2010/10	352	0	2270	12	3	0	0	8	2	0	0	0	0	47	2694
2010/09	342	0	2184	12	3	0	0	8	2	0	0	0	0	47	2598
2010/08	336	0	2110	12	3	0	0	8	2	0	0	0	0	47	2518
2010/07	335	0	2009	11	3	0	0	8	2	0	0	0	0	47	2415
2010/06	321	0	1950	10	3	0	0	8	2	0	0	0	0	47	2341
2010/05	309	0	1927	10	3	0	0	8	2	0	0	0	0	47	2306
2010/04	305	0	1921	4	3	0	0	7	2	0	0	0	0	47	2289
2010/03	302	0	1842	4	3	0	0	7	2	0	0	0	0	25	2185
2010/02	302	33	1792	0	3	0	0	7	2	0	0	0	0	25	2164
2010/01	292	33	1778	0	0	0	0	6	2	0	0	0	0	25	2136
2009/12	285	33	1698	0	0	0	0	6	2	0	0	0	0	25	2049
2009/11	284	33	1687	0	0	0	0	6	2	0	0	0	0	25	2037
2009/10	261	33	1667	0	0	0	0	6	2	0	0	0	0	25	1994
2009/09	261	33	1498	0	0	0	0	6	2	0	0	0	0	25	1825
2009/08	216	33	1376	0	0	0	0	6	2	0	0	0	0	25	1658
2009/07	217	33	1311	0	0	0	0	6	2	0	0	0	0	25	1594
2009/06	212	33	1283	0	0	0	0	6	2	0	0	0	0	25	1561
2009/05	212	33	1186	0	0	0	0	6	2	0	0	0	0	25	1464
2009/04	212	32	1028	0	0	0	0	6	2	0	0	0	0	3	1283
2009/03	204	19	936	0	0	0	0	3	2	0	0	0	0	1	1165
2009/02	146	0	818	0	0	0	0	3	2	0	0	0	0	0	969
2009/01	59	0	706	0	0	0	0	3	2	0	0	0	0	0	770
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
