機関コード	12601
機関名称（日）	東京大学
機関名称（英）	The University of Tokyo
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	東京大学学術機関リポジトリ
機関リポジトリ名称（英）	UT Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/21.gif
機関リポジトリへのリンク（日）	http://repository.dl.itc.u-tokyo.ac.jp/
機関リポジトリへのリンク（英）	http://repository.dl.itc.u-tokyo.ac.jp/index_e.html
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/21.gif
郵便番号	113-0033
住所	東京都文京区本郷 7-3-1
使用ソフトウェア	DSpace
試験公開日	
本公開日	2006/04/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	389	1415	14606	11	4	27	0	280	47	33	10	1	0	2285	19108
2009/11	366	1391	12062	11	4	27	0	280	44	33	10	1	0	1711	15940
2009/10	365	1347	11804	9	4	27	0	280	44	33	10	1	0	1681	15605
2009/09	365	1303	10512	8	4	27	0	280	44	33	10	0	0	1755	14341
2009/08	348	1264	9963	7	4	27	0	280	44	33	10	0	0	1577	13557
2009/07	341	1116	9955	7	4	27	0	280	44	33	10	0	0	1531	13348
2009/06	335	1068	9925	7	4	27	0	280	44	33	10	0	0	1531	13264
2009/05	335	1061	9779	7	4	27	0	280	44	33	8	0	0	1495	13073
2009/04	335	1038	9691	7	4	24	0	280	44	33	8	0	0	1342	12806
2009/03	328	971	9571	6	4	24	0	280	44	33	8	0	0	1309	12578
2009/02	319	633	9479	5	4	24	0	278	44	33	8	0	0	1322	12149
2009/01	313	632	8390	4	4	24	0	278	90	0	8	0	0	1220	10963
2008/12	313	632	8480	4	4	24	0	278	90	0	8	0	0	1220	11053
2008/11	311	1106	8465	4	4	24	0	278	90	0	8	0	0	1220	11510
2008/10	308	1107	8272	4	4	24	0	278	90	0	8	0	0	1220	11315
2008/09	308	570	8071	3	4	24	0	278	90	0	8	0	0	1184	10540
2008/08	307	570	6903	3	4	24	0	278	90	0	8	0	0	901	9088
2008/07	307	569	6883	3	4	24	0	278	90	0	8	0	0	901	9067
2008/06	307	569	6793	3	4	24	0	278	99	0	7	0	0	802	8886
2008/05	306	512	4155	3	4	24	0	278	53	0	7	0	0	591	5933
2008/04	306	509	4103	3	4	24	0	278	53	0	4	0	0	590	5874
2008/03	306	509	4103	3	4	24	0	278	53	0	4	0	0	590	5874
2008/02	306	408	4084	3	4	24	0	259	53	0	4	0	0	606	5751
2008/01	305	407	4082	3	4	24	0	259	53	0	4	0	0	594	5735
2007/12	300	407	4062	3	4	24	0	259	53	0	4	0	0	594	5710
2007/11	285	408	3820	2	4	19	0	259	53	0	4	0	0	563	5417
2007/10	279	407	3817	2	4	2	0	194	31	0	4	0	0	561	5301
2007/09	250	271	3733	2	4	1	0	226	0	0	3	0	0	593	5083
2007/08	244	270	3734	2	4	1	0	226	0	0	3	0	0	593	5077
2007/07	281	270	3733	2	4	1	0	226	0	0	3	0	0	592	5112
2007/06	241	269	3684	2	4	1	0	139	0	0	3	0	0	659	5002
2007/05	485	249	2839	0	4	1	0	193	3	0	3	0	0	540	4317
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
