機関コード	35407
機関名称（日）	広島文教女子大学
機関名称（英）	Hiroshima Bunkyo Women’s University
設置種別	私立大学
機関規模	D

機関リポジトリ名称（日）	広島県大学共同リポジトリ
機関リポジトリ名称（英）	Hiroshima Associated Repository Portal
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/78.gif
機関リポジトリへのリンク（日）	http://harp.lib.hiroshima-u.ac.jp
機関リポジトリへのリンク（英）	http://harp.lib.hiroshima-u.ac.jp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/78.gif
郵便番号	731-0295
住所	広島市安佐北区可部東1-2-1
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/04/30
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	0	0	281	0	0	118	0	0	0	0	0	0	0	14	413
2009/12	0	0	241	0	0	118	0	0	0	0	0	0	0	14	373
2009/11	0	0	223	0	0	118	0	0	0	0	0	0	0	14	355
2009/10	0	0	173	0	0	118	0	0	0	0	0	0	0	14	305
2009/09	0	0	173	0	0	118	0	0	0	0	0	0	0	14	305
2009/08	0	0	173	0	0	118	0	0	0	0	0	0	0	14	305
2009/07	0	0	172	0	0	118	0	0	0	0	0	0	0	14	304
2009/06	0	0	172	0	0	118	0	0	0	0	0	0	0	14	304
2009/05	0	0	172	0	0	118	0	0	0	0	0	0	0	14	304
2009/04	0	0	172	0	0	118	0	0	0	0	0	0	0	14	304
2009/03	0	0	172	0	0	118	0	0	0	0	0	0	0	14	304
2009/02	0	0	186	0	0	118	0	0	0	0	0	0	0	0	304
2009/01	0	0	185	0	0	118	0	0	0	0	0	0	0	0	303
2008/12	0	0	147	0	0	4	0	0	0	0	0	0	0	0	151
2008/11	0	0	97	0	0	4	0	0	0	0	0	0	0	0	101
2008/10	0	0	67	0	0	4	0	0	0	0	0	0	0	0	71
2008/09	0	0	67	0	0	4	0	0	0	0	0	0	0	0	71
2008/08	0	0	67	0	0	4	0	0	0	0	0	0	0	0	71
2008/07	0	0	67	0	0	4	0	0	0	0	0	0	0	0	71
2008/06	0	0	37	0	0	3	0	0	0	0	0	0	0	0	40
2008/05	0	0	33	0	0	1	0	0	0	0	0	0	0	0	34
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
